numeroTest,coord_x,coord_y,owner
1,100,300,1
1,900,700,0
1,1050,600,1
2,100,300,-1
2,200,300,1
2,1350,800,1
3,600,700,1
3,900,700,1
3,1800,100,1
4,100,300,1
4,1700,900,1
4,1050,600,-1
5,100,300,1
5,900,700,0
5,600,400,1
6,100,300,1
6,900,700,0
6,600,400,1
7,100,300,1
7,900,700,0
7,600,400,1
8,100,300,1
8,900,700,0
8,600,400,1
9,800,100,1
9,900,700,1
9,1050,600,0
10,100,300,1
10,1800,400,1
10,1050,600,1
11,100,300,1
11,900,700,0
11,600,300,1
12,800,100,1
12,900,700,1
12,1050,600,0
13,100,300,1
13,1800,400,1
13,1050,600,1
14,100,300,1
14,900,700,0
14,600,300,1
15,800,100,1
15,900,700,1
15,1050,600,0
16,100,300,1
16,1800,400,1
16,1050,600,1
17,100,300,1
17,900,700,0
17,600,300,1
18,800,100,1
18,900,700,1
18,1050,600,0
19,100,300,1
19,1800,400,1
19,1050,60,1
20,100,300,1
20,900,700,0
20,600,300,1
